full-supervised.py --data squirrel --layer 2 --weight_decay 1e-3 --model GCNII --hidden 16 --dropout 0.6
Epoch:0001 train loss:1.620 acc:20.07 | val loss:1.617 acc:19.41
Epoch:0200 train loss:1.442 acc:35.34 | val loss:1.464 acc:33.95
Epoch:0201 train loss:1.435 acc:36.38 | val loss:1.466 acc:34.98
Epoch:0202 train loss:1.434 acc:34.98 | val loss:1.468 acc:36.54
Epoch:0203 train loss:1.432 acc:35.38 | val loss:1.467 acc:35.94
Epoch:0204 train loss:1.428 acc:35.18 | val loss:1.466 acc:35.82
Epoch:0205 train loss:1.433 acc:35.70 | val loss:1.465 acc:35.64
Epoch:0206 train loss:1.422 acc:35.78 | val loss:1.465 acc:35.46
Epoch:0207 train loss:1.425 acc:35.62 | val loss:1.466 acc:36.42
Epoch:0208 train loss:1.423 acc:35.90 | val loss:1.465 acc:35.70
Epoch:0209 train loss:1.439 acc:34.54 | val loss:1.467 acc:35.76
Epoch:0210 train loss:1.431 acc:36.50 | val loss:1.467 acc:36.12
Epoch:0211 train loss:1.427 acc:36.10 | val loss:1.470 acc:36.72
Epoch:0212 train loss:1.439 acc:35.78 | val loss:1.470 acc:36.36
Epoch:0213 train loss:1.435 acc:35.66 | val loss:1.469 acc:36.48
Epoch:0214 train loss:1.428 acc:36.18 | val loss:1.470 acc:36.42
Epoch:0215 train loss:1.424 acc:36.42 | val loss:1.468 acc:36.42
Epoch:0216 train loss:1.432 acc:35.94 | val loss:1.465 acc:35.76
Epoch:0217 train loss:1.435 acc:36.22 | val loss:1.463 acc:34.13
Epoch:0218 train loss:1.427 acc:35.62 | val loss:1.464 acc:35.64
Epoch:0219 train loss:1.433 acc:35.18 | val loss:1.468 acc:36.18
Epoch:0220 train loss:1.425 acc:35.94 | val loss:1.469 acc:36.60
Epoch:0221 train loss:1.428 acc:35.34 | val loss:1.464 acc:35.94
Epoch:0222 train loss:1.429 acc:35.46 | val loss:1.462 acc:35.10
Epoch:0223 train loss:1.440 acc:35.78 | val loss:1.461 acc:33.77
Epoch:0224 train loss:1.426 acc:36.18 | val loss:1.461 acc:35.16
Epoch:0225 train loss:1.421 acc:36.46 | val loss:1.465 acc:36.18
Epoch:0226 train loss:1.417 acc:36.58 | val loss:1.471 acc:36.48
Epoch:0227 train loss:1.435 acc:34.50 | val loss:1.474 acc:36.78
Epoch:0228 train loss:1.431 acc:34.62 | val loss:1.465 acc:36.06
Epoch:0229 train loss:1.435 acc:35.74 | val loss:1.462 acc:33.77
Epoch:0230 train loss:1.428 acc:36.62 | val loss:1.463 acc:33.65
Epoch:0231 train loss:1.438 acc:34.58 | val loss:1.461 acc:34.98
Epoch:0232 train loss:1.416 acc:34.74 | val loss:1.474 acc:35.88
Epoch:0233 train loss:1.427 acc:37.06 | val loss:1.477 acc:35.46
Epoch:0234 train loss:1.419 acc:36.26 | val loss:1.469 acc:36.72
Epoch:0235 train loss:1.431 acc:35.62 | val loss:1.460 acc:34.98
Epoch:0236 train loss:1.417 acc:35.94 | val loss:1.467 acc:33.47
Epoch:0237 train loss:1.440 acc:34.21 | val loss:1.461 acc:34.25
Epoch:0238 train loss:1.419 acc:36.50 | val loss:1.466 acc:35.70
Epoch:0239 train loss:1.419 acc:36.54 | val loss:1.475 acc:36.18
Epoch:0240 train loss:1.428 acc:35.62 | val loss:1.471 acc:36.48
Epoch:0241 train loss:1.438 acc:35.90 | val loss:1.462 acc:35.40
Epoch:0242 train loss:1.430 acc:35.94 | val loss:1.461 acc:34.50
Epoch:0243 train loss:1.435 acc:36.14 | val loss:1.462 acc:35.10
Epoch:0244 train loss:1.416 acc:36.34 | val loss:1.467 acc:36.06
Epoch:0245 train loss:1.418 acc:35.82 | val loss:1.469 acc:36.42
Epoch:0246 train loss:1.410 acc:37.90 | val loss:1.463 acc:36.12
Epoch:0247 train loss:1.427 acc:36.22 | val loss:1.461 acc:34.86
Epoch:0248 train loss:1.422 acc:37.86 | val loss:1.460 acc:34.80
Epoch:0249 train loss:1.420 acc:36.22 | val loss:1.463 acc:36.30
Epoch:0250 train loss:1.419 acc:37.06 | val loss:1.470 acc:36.12
Epoch:0251 train loss:1.426 acc:36.26 | val loss:1.469 acc:35.88
Epoch:0252 train loss:1.429 acc:36.26 | val loss:1.460 acc:36.30
Epoch:0253 train loss:1.439 acc:34.98 | val loss:1.459 acc:35.58
Epoch:0254 train loss:1.424 acc:35.98 | val loss:1.459 acc:35.64
Epoch:0255 train loss:1.417 acc:36.94 | val loss:1.462 acc:36.48
Epoch:0256 train loss:1.426 acc:35.90 | val loss:1.460 acc:36.72
Epoch:0257 train loss:1.417 acc:35.26 | val loss:1.459 acc:35.52
Epoch:0258 train loss:1.407 acc:37.58 | val loss:1.462 acc:36.00
Epoch:0259 train loss:1.422 acc:35.62 | val loss:1.466 acc:36.48
Epoch:0260 train loss:1.430 acc:36.30 | val loss:1.463 acc:36.12
Epoch:0261 train loss:1.430 acc:35.70 | val loss:1.459 acc:35.76
Epoch:0262 train loss:1.412 acc:36.62 | val loss:1.459 acc:35.82
Epoch:0263 train loss:1.424 acc:35.82 | val loss:1.461 acc:35.76
Epoch:0264 train loss:1.431 acc:36.62 | val loss:1.475 acc:35.76
Epoch:0265 train loss:1.441 acc:33.93 | val loss:1.472 acc:36.12
Epoch:0266 train loss:1.430 acc:35.34 | val loss:1.461 acc:35.94
Epoch:0267 train loss:1.427 acc:35.74 | val loss:1.464 acc:33.89
Epoch:0268 train loss:1.432 acc:35.54 | val loss:1.461 acc:35.58
Epoch:0269 train loss:1.428 acc:35.90 | val loss:1.470 acc:35.82
Epoch:0270 train loss:1.419 acc:35.98 | val loss:1.480 acc:36.06
Epoch:0271 train loss:1.427 acc:37.54 | val loss:1.470 acc:36.48
Epoch:0272 train loss:1.429 acc:36.70 | val loss:1.461 acc:34.19
Epoch:0273 train loss:1.421 acc:36.42 | val loss:1.465 acc:34.50
Epoch:0274 train loss:1.428 acc:35.22 | val loss:1.461 acc:34.62
Epoch:0275 train loss:1.440 acc:35.66 | val loss:1.469 acc:36.54
Epoch:0276 train loss:1.426 acc:36.30 | val loss:1.482 acc:34.74
Epoch:0277 train loss:1.436 acc:36.82 | val loss:1.474 acc:36.72
Epoch:0278 train loss:1.441 acc:34.86 | val loss:1.461 acc:35.04
Epoch:0279 train loss:1.433 acc:35.22 | val loss:1.464 acc:34.31
Epoch:0280 train loss:1.416 acc:36.78 | val loss:1.462 acc:35.28
Epoch:0281 train loss:1.432 acc:34.78 | val loss:1.464 acc:34.98
Epoch:0282 train loss:1.436 acc:35.38 | val loss:1.470 acc:35.88
Epoch:0283 train loss:1.442 acc:35.14 | val loss:1.465 acc:34.98
Epoch:0284 train loss:1.426 acc:34.42 | val loss:1.459 acc:35.76
Epoch:0285 train loss:1.427 acc:36.62 | val loss:1.459 acc:35.22
Epoch:0286 train loss:1.432 acc:33.73 | val loss:1.459 acc:35.40
Epoch:0287 train loss:1.427 acc:35.74 | val loss:1.463 acc:35.40
Epoch:0288 train loss:1.419 acc:35.38 | val loss:1.467 acc:35.70
Epoch:0289 train loss:1.443 acc:35.42 | val loss:1.462 acc:36.36
Epoch:0290 train loss:1.432 acc:35.54 | val loss:1.458 acc:35.64
Epoch:0291 train loss:1.428 acc:35.62 | val loss:1.458 acc:34.86
Epoch:0292 train loss:1.435 acc:35.26 | val loss:1.458 acc:35.46
Epoch:0293 train loss:1.421 acc:36.22 | val loss:1.463 acc:36.30
Epoch:0294 train loss:1.425 acc:36.70 | val loss:1.469 acc:36.06
Epoch:0295 train loss:1.424 acc:36.50 | val loss:1.469 acc:36.54
Epoch:0296 train loss:1.418 acc:36.90 | val loss:1.463 acc:36.00
Epoch:0297 train loss:1.440 acc:35.14 | val loss:1.462 acc:34.56
Epoch:0298 train loss:1.412 acc:36.58 | val loss:1.464 acc:34.07
Epoch:0299 train loss:1.422 acc:35.86 | val loss:1.463 acc:34.56
Epoch:0300 train loss:1.434 acc:35.78 | val loss:1.468 acc:36.78
Epoch:0301 train loss:1.418 acc:37.10 | val loss:1.472 acc:36.96
Epoch:0302 train loss:1.436 acc:36.06 | val loss:1.473 acc:36.84
Epoch:0303 train loss:1.433 acc:34.42 | val loss:1.470 acc:36.78
Epoch:0304 train loss:1.428 acc:37.30 | val loss:1.466 acc:34.98
Epoch:0305 train loss:1.425 acc:35.14 | val loss:1.466 acc:34.50
Epoch:0306 train loss:1.423 acc:36.38 | val loss:1.466 acc:34.98
Epoch:0307 train loss:1.427 acc:36.90 | val loss:1.468 acc:36.78
Epoch:0308 train loss:1.430 acc:35.30 | val loss:1.469 acc:36.90
Epoch:0309 train loss:1.411 acc:36.46 | val loss:1.473 acc:36.42
Epoch:0310 train loss:1.432 acc:36.46 | val loss:1.472 acc:36.24
Epoch:0311 train loss:1.427 acc:35.74 | val loss:1.465 acc:35.88
Epoch:0312 train loss:1.414 acc:35.46 | val loss:1.463 acc:34.68
Epoch:0313 train loss:1.429 acc:35.46 | val loss:1.463 acc:35.16
Epoch:0314 train loss:1.415 acc:36.70 | val loss:1.464 acc:36.06
Epoch:0315 train loss:1.411 acc:37.74 | val loss:1.468 acc:35.64
Epoch:0316 train loss:1.434 acc:35.22 | val loss:1.471 acc:35.46
Epoch:0317 train loss:1.416 acc:36.58 | val loss:1.469 acc:35.64
Epoch:0318 train loss:1.420 acc:36.18 | val loss:1.462 acc:35.70
Epoch:0319 train loss:1.425 acc:37.90 | val loss:1.459 acc:34.92
Epoch:0320 train loss:1.422 acc:36.62 | val loss:1.458 acc:34.80
Epoch:0321 train loss:1.437 acc:34.21 | val loss:1.458 acc:35.76
Epoch:0322 train loss:1.429 acc:35.38 | val loss:1.459 acc:35.82
Epoch:0323 train loss:1.420 acc:35.34 | val loss:1.461 acc:35.70
Epoch:0324 train loss:1.415 acc:36.98 | val loss:1.463 acc:36.24
Epoch:0325 train loss:1.423 acc:35.66 | val loss:1.459 acc:35.76
Epoch:0326 train loss:1.419 acc:37.38 | val loss:1.458 acc:35.34
Epoch:0327 train loss:1.401 acc:37.34 | val loss:1.458 acc:35.88
Epoch:0328 train loss:1.421 acc:36.62 | val loss:1.458 acc:35.58
Epoch:0329 train loss:1.410 acc:36.70 | val loss:1.462 acc:35.82
Epoch:0330 train loss:1.419 acc:36.94 | val loss:1.463 acc:36.30
Epoch:0331 train loss:1.410 acc:37.46 | val loss:1.460 acc:36.00
Epoch:0332 train loss:1.419 acc:36.02 | val loss:1.458 acc:34.80
Epoch:0333 train loss:1.420 acc:35.94 | val loss:1.457 acc:34.74
Epoch:0334 train loss:1.407 acc:36.70 | val loss:1.457 acc:34.74
Epoch:0335 train loss:1.409 acc:36.82 | val loss:1.459 acc:35.88
Epoch:0336 train loss:1.424 acc:36.14 | val loss:1.463 acc:36.54
Epoch:0337 train loss:1.427 acc:37.42 | val loss:1.461 acc:36.18
Epoch:0338 train loss:1.417 acc:36.82 | val loss:1.457 acc:35.10
Epoch:0339 train loss:1.430 acc:36.58 | val loss:1.456 acc:34.44
Epoch:0340 train loss:1.427 acc:36.02 | val loss:1.456 acc:34.31
Epoch:0341 train loss:1.415 acc:37.70 | val loss:1.458 acc:36.18
Epoch:0342 train loss:1.431 acc:36.46 | val loss:1.459 acc:36.72
Epoch:0343 train loss:1.414 acc:35.90 | val loss:1.457 acc:35.22
Epoch:0344 train loss:1.403 acc:37.70 | val loss:1.457 acc:35.28
Epoch:0345 train loss:1.412 acc:36.18 | val loss:1.463 acc:36.12
Epoch:0346 train loss:1.422 acc:36.70 | val loss:1.463 acc:36.24
Epoch:0347 train loss:1.426 acc:38.30 | val loss:1.462 acc:36.48
Epoch:0348 train loss:1.420 acc:35.90 | val loss:1.459 acc:34.80
Epoch:0349 train loss:1.418 acc:35.90 | val loss:1.458 acc:34.25
Epoch:0350 train loss:1.424 acc:35.90 | val loss:1.461 acc:36.36
Epoch:0351 train loss:1.414 acc:37.82 | val loss:1.469 acc:36.78
Epoch:0352 train loss:1.427 acc:35.30 | val loss:1.470 acc:36.48
Epoch:0353 train loss:1.420 acc:35.78 | val loss:1.463 acc:37.32
Epoch:0354 train loss:1.397 acc:37.74 | val loss:1.459 acc:35.94
Epoch:0355 train loss:1.416 acc:36.06 | val loss:1.457 acc:35.04
